Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Two Cities Films,Personal Affair,United Kingdom,Gene Tierney;Leo Genn;Pamela Brown,Anthony Pelissier,Crime;Drama;Mystery;Romance,https://www.imdb.com/title/tt0046181/?ref_=adv_li_tt,"October 20, 1953"
Danziger Productions Ltd.,The Tell-Tale Heart,United Kingdom,Laurence Payne;Adrienne Corri;Dermot Walsh,Ernest Morris,Horror,https://www.imdb.com/title/tt0056565/?ref_=adv_li_tt,December 1960
Copa Productions,Seven Days from Now,United Kingdom;United States,Tyrone Power;Mai Zetterling;Lloyd Nolan,Richard Sale,Adventure;Drama;Thriller,https://www.imdb.com/title/tt0050091/?ref_=adv_li_tt,"March 12, 1957"
Hammer Films;Lippert Films,Stolen Face,United Kingdom;United States,Paul Henreid;Lizabeth Scott;André Morell,Terence Fisher,Crime;Drama,https://www.imdb.com/title/tt0045191/?ref_=adv_li_tt,May 1952
Warwick Film Productions,The Cockleshell Heroes,United Kingdom;United States,José Ferrer;Trevor Howard;Dora Bryan,José Ferrer,Action;Drama;War,https://www.imdb.com/title/tt0049083/?ref_=adv_li_tt,"November 16, 1955"
Metro-Goldwyn-Mayer (MGM),The Miniver Story,United Kingdom,Greer Garson;Walter Pidgeon;John Hodiak,H.C. Potter;Victor Saville,Drama,https://www.imdb.com/title/tt0042735/?ref_=adv_li_tt,"August 22, 1950"
Solar Film Productions,Tarzan the Magnificent,United Kingdom,Gordon Scott;Jock Mahoney;Betta St. John,Robert Day,Action;Adventure,https://www.imdb.com/title/tt0054368/?ref_=adv_li_tt,"July 6, 1960"
Herbert Wilcox Productions,Trent's Last Case,United Kingdom,Michael Wilding;Margaret Lockwood;Orson Welles,Herbert Wilcox,Crime;Drama;Film-Noir;Mystery,https://www.imdb.com/title/tt0045259/?ref_=adv_li_tt,"October 31, 1952"
Angel Productions;Twentieth Century Fox,The Sheriff of Fractured Jaw,United Kingdom;United States,Kenneth More;Jayne Mansfield;Henry Hull,Raoul Walsh,Comedy;Romance;Western,https://www.imdb.com/title/tt0052191/?ref_=adv_li_tt,"November 6, 1958"
Frankovich Productions,Footsteps in the Fog,United Kingdom,Stewart Granger;Jean Simmons;Bill Travers,Arthur Lubin,Crime;Drama;Thriller,https://www.imdb.com/title/tt0048087/?ref_=adv_li_tt,"August 1, 1955"
Eternal Films;Merton Park Studios,The House in Marsh Road,United Kingdom,Tony Wright;Patricia Dainton;Sandra Dorne,Montgomery Tully,Horror;Thriller,https://www.imdb.com/title/tt0053952/?ref_=adv_li_tt,November 1960
British International Pictures (BIP),East of Shanghai,United Kingdom,Henry Kendall;Joan Barry;Percy Marmont,Alfred Hitchcock,Comedy;Drama;Romance,https://www.imdb.com/title/tt0023395/?ref_=adv_li_tt,"December 10, 1931"
Twentieth Century-Fox Productions,The Mudlark,United Kingdom;United States,Irene Dunne;Alec Guinness;Andrew Ray,Jean Negulesco,Drama,https://www.imdb.com/title/tt0042757/?ref_=adv_li_tt,"October 30, 1950"
J. Arthur Rank Organisation;London Independent Producers,Above Us the Waves,United Kingdom,John Mills;John Gregson;Donald Sinden,Ralph Thomas,Drama;War,https://www.imdb.com/title/tt0047797/?ref_=adv_li_tt,"March 29, 1955"
Garrett-Klement Pictures,The Amazing Adventure,United Kingdom,Cary Grant;Mary Brian;Peter Gawthorne,Alfred Zeisler,Drama;Romance;Comedy,https://www.imdb.com/title/tt0027286/?ref_=adv_li_tt,"July 28, 1936"
Metro-Goldwyn-Mayer (MGM),Never Let Me Go,United Kingdom;United States,Clark Gable;Gene Tierney;Bernard Miles,Delmer Daves,Adventure;Drama;Romance;Thriller,https://www.imdb.com/title/tt0046124/?ref_=adv_li_tt,"March 18, 1953"
British International Pictures (BIP),Number 17,United Kingdom,Leon M. Lion;Anne Grey;John Stuart,Alfred Hitchcock,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0023285/?ref_=adv_li_tt,"July 18, 1932"
Associated British Picture Corporation (ABPC);CEA Studios;Hammer Films,Hell Is a City,United Kingdom,Stanley Baker;John Crawford;Donald Pleasence,Val Guest,Crime;Thriller,https://www.imdb.com/title/tt0053900/?ref_=adv_li_tt,"April 10, 1960"
The Rank Organisation;Mario Zampi Productions,Your Past Is Showing,United Kingdom,Terry-Thomas;Peter Sellers;Peggy Mount,Mario Zampi,Comedy,https://www.imdb.com/title/tt0050749/?ref_=adv_li_tt,"December 10, 1957"
Raymond Stross Productions;Josef Shaftel Productions Inc.,The Paris Express,United Kingdom,Claude Rains;Michael Nightingale;Felix Aylmer,Harold French,Crime;Drama,https://www.imdb.com/title/tt0046034/?ref_=adv_li_tt,December 1952
Beaver Films,The Angry Silence,United Kingdom,Richard Attenborough;Pier Angeli;Michael Craig,Guy Green,Drama,https://www.imdb.com/title/tt0053602/?ref_=adv_li_tt,"March 10, 1960"
London Film Productions;Individual Pictures,The Happiest Days of Your Life,United Kingdom,Alastair Sim;Margaret Rutherford;John Turnbull,Frank Launder,Comedy,https://www.imdb.com/title/tt0042541/?ref_=adv_li_tt,"March 8, 1950"
Associated British Picture Corporation (ABPC);Godwin-Willis,Woman in a Dressing Gown,United Kingdom,Yvonne Mitchell;Anthony Quayle;Sylvia Syms,J. Lee Thompson,Drama;Romance,https://www.imdb.com/title/tt0051204/?ref_=adv_li_tt,1957
British Film-Makers,The Assassin,United Kingdom,Richard Todd;Eva Bartok;John Gregson,Ralph Thomas,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0044378/?ref_=adv_li_tt,October 1952
International Talking Pictures,The Phantom Shot,United Kingdom,John Stuart;Olga Lindo;Howard Marion-Crawford,Mario Zampi,Mystery,https://www.imdb.com/title/tt0387491/?ref_=adv_li_tt,"September 9, 1947"
Frankovich Productions,Wicked as They Come,United Kingdom,Arlene Dahl;Philip Carey;Herbert Marshall,Ken Hughes,Crime;Drama;Mystery,https://www.imdb.com/title/tt0049629/?ref_=adv_li_tt,"May 22, 1956"
Hammer Films,The Camp on Blood Island,United Kingdom,André Morell;Carl Möhner;Walter Fitzgerald,Val Guest,Action;Drama;History;War,https://www.imdb.com/title/tt0051444/?ref_=adv_li_tt,"April 15, 1958"
Hammer Films;Yeoman Films Ltd.,Sword of Sherwood Forest,United Kingdom,Richard Greene;Peter Cushing;Niall MacGinnis,Terence Fisher,Adventure;Drama;History,https://www.imdb.com/title/tt0054358/?ref_=adv_li_tt,"December 26, 1960"
Film Studios Manchester,It's a Grand Life,United Kingdom,Frank Randle;Diana Dors;Dan Young,John E. Blakeley,Comedy,https://www.imdb.com/title/tt0045922/?ref_=adv_li_tt,November 1953
Associated British Picture Corporation (ABPC);Marble Arch Productions,The Yellow Balloon,United Kingdom,Andrew Ray;Kathleen Ryan;Kenneth More,J. Lee Thompson,Crime;Drama;Thriller,https://www.imdb.com/title/tt0046561/?ref_=adv_li_tt,"February 10, 1953"
A.R. Shipman Productions;Alliance Productions Ltd.;Victor Hanbury Productions,Daughter of Darkness,United Kingdom,Anne Crawford;Siobhan McKenna;Maxwell Reed,Lance Comfort,Crime;Drama;Horror,https://www.imdb.com/title/tt0040273/?ref_=adv_li_tt,"January 23, 1948"
London Film Productions,Fire Over England,United Kingdom,Laurence Olivier;Flora Robson;Vivien Leigh,William K. Howard,Adventure;History;Romance;War,https://www.imdb.com/title/tt0028872/?ref_=adv_li_tt,1937
Danziger Productions Ltd.,The Nudist Story,United Kingdom,Shelly Martin;Brian Cobby;Natalie Lynn,Ramsey Herrington,Drama;Romance,https://www.imdb.com/title/tt0055993/?ref_=adv_li_tt,May 1960
J. Arthur Rank Organisation;Ealing Studios,The Blue Lamp,United Kingdom,Jack Warner;Dirk Bogarde;Jimmy Hanley,Basil Dearden,Crime;Drama;Thriller,https://www.imdb.com/title/tt0042265/?ref_=adv_li_tt,1950
Gainsborough Pictures,Dear Murderer,United Kingdom,Eric Portman;Greta Gynt;Dennis Price,Arthur Crabtree,Crime;Drama;Film-Noir,https://www.imdb.com/title/tt0039306/?ref_=adv_li_tt,"May 29, 1947"
John Argyle Productions,Chamber of Horrors,United Kingdom,Leslie Banks;Lilli Palmer;Romilly Lunge,Norman Lee,Drama;Horror;Mystery,https://www.imdb.com/title/tt0032406/?ref_=adv_li_tt,"September 6, 1940"
Columbia Pictures Corporation;Warwick Film Productions,The Man Inside,United Kingdom,Jack Palance;Anita Ekberg;Nigel Patrick,John Gilling,Adventure;Crime;Drama,https://www.imdb.com/title/tt0051893/?ref_=adv_li_tt,"September 7, 1958"
Gaumont British Picture Corporation,Power,United Kingdom,Conrad Veidt;Benita Hume;Frank Vosper,Lothar Mendes,Drama;History;Romance,https://www.imdb.com/title/tt0025329/?ref_=adv_li_tt,"October 4, 1934"
London Film Productions;Boulting Brothers;British Lion Film Corporation,Seven Days to Noon,United Kingdom,Barry Jones;André Morell;Olive Sloane,John Boulting;Roy Boulting,Drama;Thriller,https://www.imdb.com/title/tt0042949/?ref_=adv_li_tt,September 1950
Gainsborough Pictures,A Lady Surrenders,United Kingdom,Margaret Lockwood;Stewart Granger;Tom Walls,Leslie Arliss,Drama;Music;Romance,https://www.imdb.com/title/tt0037029/?ref_=adv_li_tt,"October 12, 1944"
Twentieth Century Fox,I'll Never Forget You,United Kingdom;United States,Tyrone Power;Ann Blyth;Michael Rennie,Roy Ward Baker,Drama;Fantasy;Romance,https://www.imdb.com/title/tt0043668/?ref_=adv_li_tt,October 1951
Theatrecraft,Jungle Street Girls,United Kingdom,Jill Ireland;David McCallum;Kenneth Cope,Charles Saunders,Crime;Drama,https://www.imdb.com/title/tt0055034/?ref_=adv_li_tt,1960
Danziger Productions Ltd.,The Spider's Web,United Kingdom,Glynis Johns;John Justin;Jack Hulbert,Godfrey Grayson,Mystery,https://www.imdb.com/title/tt0339716/?ref_=adv_li_tt,November 1960
Gainsborough Pictures,A Place of One's Own,United Kingdom,Margaret Lockwood;James Mason;Barbara Mullen,Bernard Knowles,Drama;Mystery;Thriller,https://www.imdb.com/title/tt0037179/?ref_=adv_li_tt,"March 20, 1945"
Columbia Pictures Corporation;Hammer Films,Yesterday's Enemy,United Kingdom,Stanley Baker;Guy Rolfe;Leo McKern,Val Guest,Drama;War,https://www.imdb.com/title/tt0053458/?ref_=adv_li_tt,"July 11, 1959"
Ealing Studios,Nowhere to Go,United Kingdom;United States,George Nader;Maggie Smith;Bernard Lee,Seth Holt;Basil Dearden,Crime;Drama,https://www.imdb.com/title/tt0052013/?ref_=adv_li_tt,"December 4, 1958"
Two Cities Films,Encore,United Kingdom,Nigel Patrick;Roland Culver;Alison Leggatt,Harold French;Pat Jackson;Anthony Pelissier,Comedy;Drama,https://www.imdb.com/title/tt0044586/?ref_=adv_li_tt,"November 14, 1951"
Metro-Goldwyn-Mayer (MGM),Conspirator,United Kingdom;United States,Robert Taylor;Elizabeth Taylor;Robert Flemyng,Victor Saville,Crime;Drama;Thriller,https://www.imdb.com/title/tt0041260/?ref_=adv_li_tt,"July 29, 1949"
Independent Film Producers (IFP),Across the Bridge,United Kingdom,Rod Steiger;David Knight;Bernard Lee,Ken Annakin,Crime;Drama;Thriller,https://www.imdb.com/title/tt0050097/?ref_=adv_li_tt,"August 20, 1957"
Fernwood Productions,Vampire Over London,United Kingdom,Arthur Lucan;Bela Lugosi;Dora Bryan,John Gilling,Comedy;Horror,https://www.imdb.com/title/tt0044925/?ref_=adv_li_tt,1952
Hammer Films,Cloudburst,United Kingdom,Robert Preston;Elizabeth Sellars;Colin Tapley,Francis Searle,Film-Noir;Mystery,https://www.imdb.com/title/tt0043418/?ref_=adv_li_tt,July 1951
Butcher's Film Service,The Monkey's Paw,United Kingdom,Milton Rosmer;Megs Jenkins;Michael Martin Harvey,Norman Lee,Horror;Thriller,https://www.imdb.com/title/tt0179359/?ref_=adv_li_tt,"August 23, 1948"
George King Productions,The Face at the Window,United Kingdom,Tod Slaughter;John Warwick;Aubrey Mallalieu,George King,Drama;Horror,https://www.imdb.com/title/tt0031289/?ref_=adv_li_tt,April 1939
Gabriel Pascal Productions,Major Barbara,United Kingdom,Wendy Hiller;Rex Harrison;Robert Morley,Gabriel Pascal;Harold French;David Lean,Comedy,https://www.imdb.com/title/tt0033868/?ref_=adv_li_tt,"March 20, 1941"
John Harvel Productions,She Played with Fire,United Kingdom;United States,Jack Hawkins;Arlene Dahl;Dennis Price,Sidney Gilliat,Crime;Drama;Film-Noir;Mystery,https://www.imdb.com/title/tt0050405/?ref_=adv_li_tt,"March 13, 1957"
London Film Productions,The Deep Blue Sea,United Kingdom,Vivien Leigh;Kenneth More;Eric Portman,Anatole Litvak,Drama;Romance,https://www.imdb.com/title/tt0047978/?ref_=adv_li_tt,"August 23, 1955"
Columbia Pictures;Marksman Productions Ltd.,Town on Trial,United Kingdom,John Mills;Charles Coburn;Barbara Bates,John Guillermin,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0049872/?ref_=adv_li_tt,"January 24, 1957"
The Rank Organisation,The Square Peg,United Kingdom,Norman Wisdom;Honor Blackman;Edward Chapman,John Paddy Carstairs,Comedy;War,https://www.imdb.com/title/tt0052233/?ref_=adv_li_tt,"December 4, 1958"
London Film Productions,The Man Who Could Work Miracles,United Kingdom,Roland Young;Ralph Richardson;Edward Chapman,Lothar Mendes;Alexander Korda,Comedy;Family;Fantasy;Sci-Fi,https://www.imdb.com/title/tt0029201/?ref_=adv_li_tt,"July 23, 1936"
Warwick Film Productions,Pickup Alley,United Kingdom;United States,Victor Mature;Anita Ekberg;Trevor Howard,John Gilling,Action;Crime;Drama;Thriller,https://www.imdb.com/title/tt0050841/?ref_=adv_li_tt,1957
Romulus Films;Remus,The Silent Enemy,United Kingdom,Laurence Harvey;Dawn Addams;Michael Craig,William Fairchild,Action;Biography;History;War,https://www.imdb.com/title/tt0052197/?ref_=adv_li_tt,"March 3, 1958"
Metro-Goldwyn-Mayer British Studios,A Yank at Oxford,United Kingdom,Robert Taylor;Vivien Leigh;Lionel Barrymore,Jack Conway,Drama;Romance;Sport,https://www.imdb.com/title/tt0030989/?ref_=adv_li_tt,"February 9, 1938"
Federated Film Corporation,The Ghost of Rashmon Hall,United Kingdom,Valentine Dyall;Anne Howard;Alec Faversham,Denis Kavanagh,Horror,https://www.imdb.com/title/tt0039658/?ref_=adv_li_tt,"May 24, 1948"
British National Films,Blackout,United Kingdom,Conrad Veidt;Valerie Hobson;Hay Petrie,Michael Powell,Crime;Drama;Romance;Thriller;War,https://www.imdb.com/title/tt0032356/?ref_=adv_li_tt,"March 25, 1940"
Hammer Films,Blackout,United Kingdom,Dane Clark;Belinda Lee;Betty Ann Davies,Terence Fisher,Crime;Drama;Film-Noir;Mystery;Thriller,https://www.imdb.com/title/tt0046792/?ref_=adv_li_tt,"March 19, 1954"
The Rank Organisation,Robbery Under Arms,United Kingdom,Peter Finch;Ronald Lewis;David McCallum,Jack Lee,Action;Adventure;Crime;Drama;History;Western,https://www.imdb.com/title/tt0050904/?ref_=adv_li_tt,"October 3, 1957"
Associated British Picture Corporation (ABPC),The Night Has Eyes,United Kingdom,James Mason;Wilfrid Lawson;Mary Clare,Leslie Arliss,Horror;Mystery;Thriller,https://www.imdb.com/title/tt0035123/?ref_=adv_li_tt,"June 1, 1942"
The Barbour Corporation Ltd.,Murder on Approval,United Kingdom,Tom Conway;Delphi Lawrence;Brian Worth,Bernard Knowles,Adventure;Crime;Mystery,https://www.imdb.com/title/tt0049525/?ref_=adv_li_tt,July 1955
Allied Artists Pictures,The Warriors,United Kingdom;United States,Errol Flynn;Joanne Dru;Peter Finch,Henry Levin,Adventure;Drama;History;Romance;War,https://www.imdb.com/title/tt0047975/?ref_=adv_li_tt,"April 15, 1955"
British National Films,Love on the Dole,United Kingdom,Deborah Kerr;Clifford Evans;George Carney,John Baxter,Drama,https://www.imdb.com/title/tt0033853/?ref_=adv_li_tt,"April 2, 1941"
Anglo-Guild Productions;Merton Park Studios,Finger of Guilt,United Kingdom,Richard Basehart;Mary Murphy;Constance Cummings,Joseph Losey;Alec C. Snowden,Drama;Film-Noir,https://www.imdb.com/title/tt0049210/?ref_=adv_li_tt,June 1956
Individual Pictures,I See a Dark Stranger,United Kingdom,Deborah Kerr;Trevor Howard;Raymond Huntley,Frank Launder,Drama;Thriller;War,https://www.imdb.com/title/tt0038289/?ref_=adv_li_tt,"July 4, 1946"
Associated British Picture Corporation (ABPC);The Archers,Oh... Rosalinda!!,United Kingdom,Anthony Quayle;Anton Walbrook;Dennis Price,Michael Powell;Emeric Pressburger,Musical,https://www.imdb.com/title/tt0048441/?ref_=adv_li_tt,"November 18, 1955"
Group Film Productions Limited,Doctor at Large,United Kingdom,Dirk Bogarde;Muriel Pavlow;Donald Sinden,Ralph Thomas,Comedy,https://www.imdb.com/title/tt0050323/?ref_=adv_li_tt,"March 26, 1957"
Columbia Pictures Corporation;Fortress Film Productions Ltd.,Kill Her Gently,United Kingdom,Marc Lawrence;George Mikell;Griffith Jones,Charles Saunders,Crime;Thriller,https://www.imdb.com/title/tt0050593/?ref_=adv_li_tt,December 1957
Angel Productions,The Beasts of Marseilles,United Kingdom,Stephen Boyd;James Robertson Justice;Kathleen Harrison,Hugo Fregonese,Drama;Romance;War,https://www.imdb.com/title/tt0050174/?ref_=adv_li_tt,"September 4, 1957"
Twentieth Century-Fox Productions,Murder in the Family,United Kingdom,Barry Jones;Jessica Tandy;Evelyn Ankers,Albert Parker,Crime;Drama,https://www.imdb.com/title/tt0030475/?ref_=adv_li_tt,February 1938
Metro-Goldwyn-Mayer British Studios,Haunted Honeymoon,United Kingdom,Robert Montgomery;Constance Cummings;Leslie Banks,Arthur B. Woods;Richard Thorpe,Comedy;Drama;Mystery,https://www.imdb.com/title/tt0032571/?ref_=adv_li_tt,"July 22, 1940"
Group Film Productions Limited,The Little Kidnappers,United Kingdom,Jon Whiteley;Vincent Winter;Adrienne Corri,Philip Leacock,Drama;Family;Romance;War,https://www.imdb.com/title/tt0046006/?ref_=adv_li_tt,"December 17, 1953"
Gainsborough Pictures,The Man Who Lived Again,United Kingdom,Boris Karloff;Anna Lee;John Loder,Robert Stevenson,Horror;Sci-Fi,https://www.imdb.com/title/tt0027938/?ref_=adv_li_tt,"September 11, 1936"
Festival Film Productions,The Magic Box,United Kingdom,Robert Donat;Maria Schell;Renée Asherson,John Boulting,Biography;Drama;History,https://www.imdb.com/title/tt0043769/?ref_=adv_li_tt,"September 18, 1951"
Sydney Box Associates;Remfield;The Rank Organisation,SOS Pacific,United Kingdom,Richard Attenborough;Pier Angeli;John Gregson,Guy Green,Adventure;Drama;Thriller,https://www.imdb.com/title/tt0053234/?ref_=adv_li_tt,"October 14, 1959"
Inter-Allied,As You Like It,United Kingdom,Elisabeth Bergner;Laurence Olivier;Sophie Stewart,Paul Czinner,Drama;Comedy;Romance,https://www.imdb.com/title/tt0027311/?ref_=adv_li_tt,1936
Michaeldavid Productions;Societa Italiana Gestioni Manifestazioni Artistiche Italarte,The Man from Cairo,United Kingdom;Italy;United States,George Raft;Gianna Maria Canale;Massimo Serato,Ray Enright;Edoardo Anton,Crime;Drama,https://www.imdb.com/title/tt0045705/?ref_=adv_li_tt,"September 3, 1953"
Warwick Film Productions,Safari,United Kingdom;United States,Victor Mature;Janet Leigh;John Justin,Terence Young,Adventure,https://www.imdb.com/title/tt0049706/?ref_=adv_li_tt,"April 30, 1956"
Charter Film Productions,Pastor Hall,United Kingdom,Wilfrid Lawson;Nova Pilbeam;Seymour Hicks,Roy Boulting,Drama,https://www.imdb.com/title/tt0032894/?ref_=adv_li_tt,"May 27, 1940"
J. Arthur Rank Organisation;Pinewood Films,Golden Salamander,United Kingdom,Trevor Howard;Anouk Aimée;Herbert Lom,Ronald Neame,Adventure;Crime;Drama;Romance,https://www.imdb.com/title/tt0043594/?ref_=adv_li_tt,"February 1, 1950"
The Rank Organisation;Ealing Studios;Michael Balcon Productions,Who Done It?,United Kingdom,Benny Hill;Belinda Lee;David Kossoff,Basil Dearden,Comedy;Crime,https://www.imdb.com/title/tt0049951/?ref_=adv_li_tt,"March 18, 1956"
Universalcine;Verona Produzione,Romeo and Juliet,Italy;United Kingdom,Laurence Harvey;Susan Shentall;Flora Robson,Renato Castellani,Drama;Romance,https://www.imdb.com/title/tt0047029/?ref_=adv_li_tt,September 1954
Associated British Picture Corporation (ABPC),Tower of Terror,United Kingdom,Wilfrid Lawson;Movita;Michael Rennie,Lawrence Huntington,Thriller;War,https://www.imdb.com/title/tt0035462/?ref_=adv_li_tt,"September 29, 1941"
